city,country,region,latitude,longitude,cost_per_day_usd,avg_temp_c,beach,culture,nature,nightlife,food,adventure,relaxation,popularity,safety,temp_month_1,temp_month_2,temp_month_3,temp_month_4,temp_month_5,temp_month_6,temp_month_7,temp_month_8,temp_month_9,temp_month_10,temp_month_11,temp_month_12,source_dataset,description
Chisinau,Moldova,europe,47.0245117,28.8322923,70,11.866666666666667,2,6,6,6,6,4,4,6,7,-0.3,1.8,5.9,11.4,16.6,22.0,23.7,23.8,18.5,11.6,5.5,1.9,kaggle_worldwide_travel_cities,"Tree-lined streets and Soviet-era architecture mix with lively markets and cozy wine bars, offering a unique and welcoming vibe."
Oslo,Norway,europe,59.9133301,10.7389701,240,7.500000000000001,4,8,8,6,8,6,8,8,7,-2.0,-0.8,1.9,6.4,12.0,16.6,17.6,16.4,12.9,7.2,2.5,-0.7,kaggle_worldwide_travel_cities,"Modern architecture meets stunning natural landscapes, with serene fjords and vibrant city life offering a unique blend of tranquility and excitement."
Paramaribo,Suriname,south_america,5.82417645,-55.16628130970069,70,26.908333333333335,4,8,8,6,8,6,6,6,7,26.1,26.4,26.8,26.7,26.5,26.5,26.8,27.1,28.1,28.1,27.3,26.5,kaggle_worldwide_travel_cities,"Lush greenery, colonial architecture, and vibrant street markets create a lively atmosphere where tropical warmth meets cultural diversity."
Kotor,Montenegro,europe,42.4249205,18.7713332,135,16.14166666666667,6,8,8,4,6,6,6,4,7,7.6,8.8,11.2,13.7,17.5,23.1,25.7,25.5,21.6,16.5,12.8,9.7,kaggle_worldwide_travel_cities,"Winding cobblestone streets and ancient stone walls create a charming, timeless atmosphere, inviting you to explore hidden corners and scenic views."
Rabat,Morocco,africa,33.9851778,-6.8461433,70,17.591666666666665,6,8,6,6,8,4,6,8,7,12.1,13.1,14.2,16.3,18.7,20.7,22.7,23.2,21.5,19.6,15.6,13.4,kaggle_worldwide_travel_cities,"A city where historic medinas meet modern boulevards, offering a serene coastal vibe with the scent of sea air and spices."
Arequipa,Peru,south_america,-16.3988667,-71.5369607,70,15.908333333333333,2,8,8,6,8,6,6,6,7,15.6,15.3,15.4,16.2,16.2,15.6,15.4,15.6,16.5,16.6,16.3,16.2,kaggle_worldwide_travel_cities,Charming colonial architecture and vibrant plazas set against a backdrop of volcanic peaks create a captivating blend of history and natural beauty.
Krakow,Poland,europe,50.0619474,19.9368564,135,9.883333333333331,2,10,6,8,8,4,6,8,7,-0.4,1.6,4.3,9.1,13.9,19.1,20.0,20.0,15.1,9.8,4.6,1.5,kaggle_worldwide_travel_cities,"Charming cobblestone streets and lively squares invite exploration, while the rich history and vibrant culture create an inviting and warm atmosphere."
Chiang Rai,Thailand,asia,19.7589517,99.6734592,70,25.266666666666666,2,8,8,4,8,6,6,4,7,20.5,22.3,25.5,27.4,28.4,27.8,27.3,26.7,26.7,25.6,23.8,21.2,kaggle_worldwide_travel_cities,"Quiet temples and vibrant markets blend with lush green landscapes, offering a serene yet culturally rich experience for the curious traveler."
Maastricht,Netherlands,europe,50.85798545,5.6969881818221095,135,11.433333333333332,2,8,6,6,8,4,6,6,7,3.7,5.1,7.0,9.9,14.1,18.2,19.2,19.2,15.8,12.0,7.4,5.6,kaggle_worldwide_travel_cities,"Cobblestone streets and medieval architecture create a charming atmosphere, while lively squares and riverside paths invite leisurely exploration and relaxation."
Christchurch,New Zealand,oceania,-43.530955,172.6364343,135,11.975,6,6,8,6,6,8,6,6,7,17.2,17.0,15.0,12.3,9.7,7.4,6.6,7.4,9.6,11.6,13.9,16.0,kaggle_worldwide_travel_cities,"A city reborn with innovative architecture and lush gardens, offering a mix of urban charm and stunning natural landscapes."
Gotland,Sweden,europe,57.4174802,18.536957927499856,135,8.6,8,8,8,6,6,6,6,4,7,1.4,1.3,2.2,5.3,10.4,15.5,17.4,17.3,14.0,9.3,5.9,3.2,kaggle_worldwide_travel_cities,"Charming cobblestone streets, medieval ruins, and serene coastal landscapes offer a peaceful escape with a touch of historical intrigue and natural beauty."
St Ives,United Kingdom,europe,50.2149064,-5.4795083,135,11.516666666666666,10,8,8,6,6,6,6,4,7,7.4,7.6,8.0,9.6,11.9,14.6,16.2,16.3,14.9,12.6,10.1,9.0,kaggle_worldwide_travel_cities,"Charming cobblestone streets wind through art galleries and quaint shops, with the salty sea breeze adding a refreshing touch to your stroll."
Tromsø,Norway,europe,69.6516345,18.9558585,240,4.0,4,6,10,6,6,8,6,6,7,-2.9,-2.0,-1.6,1.7,5.9,9.8,12.9,12.2,8.8,3.7,0.9,-1.4,kaggle_worldwide_travel_cities,"Snow-draped landscapes and vibrant northern lights create a magical atmosphere, while the crisp Arctic air invigorates your senses and spirit."
Granada,Nicaragua,north_america,11.9303801,-85.9535897,70,27.791666666666668,4,8,8,6,8,6,6,6,7,27.0,27.5,28.6,29.8,29.1,27.6,27.6,27.8,27.6,27.2,26.9,26.8,kaggle_worldwide_travel_cities,"Cobblestone streets lined with colorful colonial buildings and the distant scent of tropical fruits create a charming, laid-back atmosphere."
San Juan,Puerto Rico,north_america,18.38423905,-66.05343997364733,135,27.399999999999995,10,8,6,8,8,6,6,8,7,25.7,25.6,25.8,26.6,27.8,28.5,28.6,28.9,28.9,28.5,27.4,26.5,kaggle_worldwide_travel_cities,"Cobblestone streets lined with colorful colonial buildings, lively salsa rhythms, and the scent of ocean breezes create a vibrant and welcoming atmosphere."
Salt Lake City,United States,north_america,40.7596198,-111.886797,135,13.166666666666666,2,6,10,6,6,8,8,6,7,0.3,2.8,7.6,11.4,16.6,24.1,28.6,26.5,21.2,12.9,5.6,0.4,kaggle_worldwide_travel_cities,"Surrounded by stunning mountains, this city offers a blend of vibrant urban life and serene natural beauty, perfect for outdoor enthusiasts."
Asunción,Paraguay,south_america,-25.2800459,-57.6343814,70,23.616666666666664,2,6,6,6,6,4,4,6,7,28.5,27.5,26.3,23.9,19.5,18.5,18.4,20.5,22.6,24.5,25.8,27.4,kaggle_worldwide_travel_cities,"Stroll through sun-dappled streets, where lively markets and the scent of grilled meats create a warm, inviting atmosphere."
Manila,Philippines,asia,14.5904492,120.9803621,70,28.683333333333337,4,8,4,8,8,6,6,8,7,26.9,27.3,28.6,30.0,30.6,29.7,28.7,28.8,28.7,28.7,28.6,27.6,kaggle_worldwide_travel_cities,"Bustling streets filled with vibrant jeepneys and the aroma of street food create an exciting, sensory-rich experience that's uniquely captivating."
Bern,Switzerland,europe,46.9484742,7.4521749,240,10.23333333333333,2,8,8,6,8,6,8,8,7,1.5,3.2,5.6,9.3,13.1,18.3,19.9,19.4,15.1,10.3,5.0,2.1,kaggle_worldwide_travel_cities,"Charming cobblestone streets wind through medieval architecture, while the gentle flow of the river creates a serene backdrop for leisurely exploration."
Catania,Italy,europe,37.5023612,15.0873718,135,18.225,6,8,8,6,10,6,6,6,7,10.3,11.2,12.1,15.4,19.1,23.9,27.4,27.1,24.4,20.3,15.8,11.7,kaggle_worldwide_travel_cities,"Sun-soaked streets filled with the aroma of fresh seafood, lively markets, and the dramatic backdrop of a smoking volcano create a unique atmosphere."
Davao,Philippines,asia,7.0648306,125.6080623,70,27.991666666666674,6,6,10,6,8,8,6,6,7,27.0,27.0,28.0,28.7,29.0,28.1,27.9,28.1,28.3,28.1,28.1,27.6,kaggle_worldwide_travel_cities,"Lush landscapes meet urban vibrancy, with bustling markets, serene parks, and the scent of tropical fruits filling the air."
Porto,Portugal,europe,41.1494512,-8.6107884,135,15.241666666666667,6,8,6,8,10,6,6,8,7,10.2,11.4,12.7,14.1,16.4,17.9,20.1,20.0,18.7,16.8,13.2,11.4,kaggle_worldwide_travel_cities,"Charming riverside streets, vibrant tiles, and the rich aroma of port wine create a warm and inviting atmosphere perfect for leisurely exploration."
Azores,Portugal,europe,37.80855645,-25.47313739124529,135,18.191666666666666,6,6,10,4,8,8,6,4,7,15.6,15.0,14.6,15.8,17.3,19.2,21.7,23.0,22.1,19.9,17.8,16.3,kaggle_worldwide_travel_cities,"Lush volcanic landscapes, tranquil ocean vistas, and charming villages create a serene atmosphere perfect for unwinding and connecting with nature."
Freetown,Sierra Leone,africa,8.479004,-13.26795,70,27.45,8,6,8,6,6,6,4,4,7,27.6,27.9,28.1,28.5,28.3,27.3,26.4,26.2,26.7,27.1,27.7,27.6,kaggle_worldwide_travel_cities,"Lively streets filled with vibrant markets, friendly locals, and the rhythmic sounds of the ocean create a welcoming and dynamic atmosphere."
Laval,Quebec,north_america,45.60558895,-73.73456014508847,135,7.883333333333334,4,6,6,6,6,6,6,6,7,-7.9,-7.2,-1.8,6.3,14.7,19.4,22.6,21.5,17.4,10.2,2.7,-3.3,kaggle_worldwide_travel_cities,"A blend of urban charm and natural beauty, with lush parks and vibrant cultural spots offering a refreshing escape from the city rush."
Saint-Denis,Réunion,africa,-20.8799889,55.448137,135,24.425,8,8,10,6,8,8,6,6,7,26.6,26.8,26.4,25.6,24.0,22.4,21.8,21.8,22.5,23.8,25.0,26.4,kaggle_worldwide_travel_cities,"A lively mix of Creole culture, bustling markets, and lush mountain backdrops create a vibrant and welcoming atmosphere full of discovery."
Constanta,Romania,europe,44.1767161,28.6507598,70,13.716666666666667,8,6,6,6,8,6,6,6,7,2.9,4.7,7.0,11.6,16.8,22.2,24.5,24.8,20.6,14.8,9.5,5.2,kaggle_worldwide_travel_cities,"Golden beaches meet historic architecture, offering a blend of sun-soaked relaxation and the charm of ancient ruins and lively promenades."
Puerto Vallarta,Mexico,north_america,20.6407176,-105.220306,135,23.466666666666665,10,6,8,8,8,8,8,6,7,21.0,21.1,21.6,23.0,24.6,25.1,25.4,25.4,25.0,24.7,23.2,21.5,kaggle_worldwide_travel_cities,"Golden beaches meet the lush Sierra Madre mountains, creating a vibrant yet laid-back atmosphere filled with colorful markets and lively nightlife."
Cape Town,South Africa,africa,-33.9288301,18.4172197,135,17.075,8,8,10,8,8,8,6,8,7,21.8,21.4,19.8,17.5,15.3,13.5,12.4,12.8,14.3,17.1,18.6,20.4,kaggle_worldwide_travel_cities,"A vibrant coastal city surrounded by rugged mountains and pristine beaches, offering laid-back afternoons, diverse cultures, and breathtaking views."
Castries,Saint Lucia,north_america,13.90904385,-60.97792414113452,135,26.933333333333334,10,6,10,6,8,8,8,6,7,25.5,25.6,25.9,26.7,27.5,27.7,27.6,27.8,28.0,27.7,27.0,26.2,kaggle_worldwide_travel_cities,"Colorful markets, ocean breezes, and lively street music create a vibrant atmosphere, inviting you to explore and unwind at your own pace."
São Tomé,São Tomé and Príncipe,africa,0.3389242,6.7313031,135,26.2,8,6,10,4,6,8,6,4,7,26.6,27.1,27.1,27.1,27.2,25.9,25.0,24.9,25.7,25.8,25.8,26.2,kaggle_worldwide_travel_cities,"Lush rainforests, tranquil beaches, and the gentle rhythm of island life create a serene escape filled with natural beauty and warmth."
Madrid,Spain,europe,40.4167047,-3.7035825,135,16.216666666666665,2,10,4,10,10,6,6,10,7,6.6,8.6,11.3,14.0,18.8,23.8,28.3,27.2,21.1,16.4,10.5,8.0,kaggle_worldwide_travel_cities,"Vibrant streets filled with lively tapas bars, stunning architecture, and a rich tapestry of history create an inviting and energetic atmosphere."
Nantes,France,europe,47.2186371,-1.5541362,135,13.091666666666667,4,8,6,6,8,4,6,8,7,6.4,7.4,9.3,11.9,15.1,18.6,20.2,19.9,17.3,13.8,9.5,7.7,kaggle_worldwide_travel_cities,"A city where historic charm meets modern creativity, with cobblestone streets, vibrant art scenes, and the gentle flow of the Loire River."
Victoria,Seychelles,africa,-4.6232085,55.452359,240,27.650000000000002,10,6,10,6,8,8,8,4,7,27.5,28.1,28.7,28.7,28.5,27.5,26.4,26.4,27.0,27.7,27.7,27.6,kaggle_worldwide_travel_cities,"Lush tropical landscapes meet the vibrant colors of bustling markets, offering a sensory feast of exotic flavors and warm ocean breezes."
Ljubljana,Slovenia,europe,46.0500268,14.5069289,135,12.116666666666667,2,8,8,6,8,6,6,8,7,1.6,4.3,7.3,11.7,15.8,21.2,23.0,22.3,16.9,12.3,6.7,2.3,kaggle_worldwide_travel_cities,"Charming cobblestone streets, vibrant riverfront cafés, and lush green spaces offer a welcoming atmosphere that's both lively and relaxing."
Chengdu,China,asia,30.6598628,104.0633717,135,18.516666666666666,2,10,8,6,10,6,6,8,7,8.0,10.2,15.4,19.7,23.1,25.7,27.5,27.9,23.6,18.4,14.0,8.7,kaggle_worldwide_travel_cities,"A lively blend of spicy street food aromas, lush green parks, and the gentle charm of giant pandas creates an inviting, laid-back atmosphere."
Menorca,Spain,europe,39.949257200000005,4.0499641751186415,135,17.624999999999996,10,6,8,6,8,6,8,4,7,11.1,11.2,12.5,14.5,18.1,22.6,25.7,25.7,22.8,19.5,15.2,12.6,kaggle_worldwide_travel_cities,"Golden beaches meet turquoise waters, offering a tranquil escape with gentle breezes, charming villages, and the scent of pine forests in the air."
Stone Town,Tanzania,africa,-6.16265285,39.18965515249984,70,27.224999999999998,8,10,6,6,8,6,6,6,7,28.5,28.8,28.8,27.5,27.0,26.5,25.7,25.6,26.0,26.8,27.4,28.1,kaggle_worldwide_travel_cities,"Winding alleys filled with vibrant markets, the aroma of spices, and the sound of distant waves create an atmosphere both lively and enchanting."
Johannesburg,South Africa,africa,-26.205,28.049722,135,16.825,2,8,6,8,8,6,6,10,7,20.3,19.8,19.1,16.1,14.1,10.8,10.7,14.3,17.6,19.1,19.7,20.3,kaggle_worldwide_travel_cities,"A bustling urban landscape with vibrant street art, diverse culinary delights, and a palpable energy that captures the essence of modern African city life."
Busan,South Korea,asia,35.1799528,129.0752365,135,15.45833333333333,8,8,8,8,10,6,6,8,7,3.8,5.2,10.1,14.3,18.5,21.7,25.2,27.2,23.1,18.1,12.6,5.7,kaggle_worldwide_travel_cities,"Coastal breezes mix with the scent of street food, while vibrant markets and serene temples create a lively yet calming atmosphere."
Koh Lanta,Thailand,asia,13.8212743,100.6306935,70,29.15833333333333,10,6,8,6,8,8,8,4,7,27.3,28.5,30.2,30.9,30.7,30.1,29.5,29.4,28.8,28.5,28.6,27.4,kaggle_worldwide_travel_cities,"Golden beaches, gentle waves, and lush greenery create a serene escape where you can unwind and soak in the tranquil island vibe."
Mumbai,India,asia,19.054999,72.8692035,135,28.46666666666667,6,10,4,8,10,6,6,10,7,25.6,27.0,28.9,30.0,30.9,29.5,28.1,28.0,28.1,29.6,29.0,26.9,kaggle_worldwide_travel_cities,"A bustling metropolis where vibrant street life, aromatic food stalls, and historic landmarks blend with a dynamic energy that never sleeps."
Istanbul,Turkey,europe,41.006381,28.9758715,135,16.34166666666667,4,10,6,8,10,6,6,10,7,7.4,7.6,9.6,13.5,17.9,23.3,26.1,26.4,22.9,17.8,13.9,9.7,kaggle_worldwide_travel_cities,"A captivating blend of East and West, with vibrant bazaars, aromatic spices, historic mosques, and the serene Bosphorus weaving through daily life."
Seville,Spain,europe,37.3886303,-5.9953403,135,19.2,2,10,4,8,10,6,6,8,7,10.5,12.5,14.9,17.5,21.6,24.9,28.0,28.3,24.6,20.7,14.9,12.0,kaggle_worldwide_travel_cities,"Sun-drenched plazas, the aroma of orange blossoms, and the passionate rhythm of flamenco create an enchanting and lively atmosphere."
Bangkok,Thailand,asia,13.7524938,100.4935089,70,29.25833333333333,4,10,4,10,10,6,8,10,7,27.8,28.7,30.1,30.8,30.8,30.1,29.4,29.3,28.7,28.6,28.9,27.9,kaggle_worldwide_travel_cities,Busy streets filled with vibrant markets and aromatic street food stalls create an exhilarating atmosphere that's both chaotic and captivating.
Belfast,United Kingdom,europe,54.596391,-5.9301829,135,10.124999999999998,4,8,6,6,8,6,6,8,7,5.4,5.8,6.3,8.4,11.7,14.3,15.4,15.4,13.6,10.8,7.8,6.6,kaggle_worldwide_travel_cities,"Cozy pubs, historic streets, and the lively spirit of its people create an inviting and culturally rich atmosphere full of stories."
Odessa,Ukraine,europe,46.4843023,30.7322878,70,12.35,8,8,6,8,8,6,6,8,7,0.6,2.3,5.6,10.6,16.1,22.0,24.2,24.5,19.3,12.9,7.0,3.1,kaggle_worldwide_travel_cities,"Charming cobblestone streets, lively markets, and the gentle sea breeze create a relaxed yet vibrant atmosphere perfect for unwinding and exploring."
Zanzibar Town,Tanzania,africa,-6.15956165,39.2009686,135,27.224999999999998,10,8,8,6,8,6,6,6,7,28.5,28.8,28.8,27.5,27.0,26.5,25.7,25.6,26.0,26.8,27.4,28.1,kaggle_worldwide_travel_cities,Winding streets filled with the aroma of spices and the sound of Swahili music create an enchanting and vibrant atmosphere.
Antananarivo,Madagascar,africa,-18.9100122,47.5255809,70,18.791666666666664,4,8,10,6,6,8,4,6,7,21.1,21.1,21.0,19.9,17.6,15.4,14.7,15.6,17.1,19.7,21.0,21.3,kaggle_worldwide_travel_cities,"Bustling streets filled with lively markets and the aroma of street food create an energetic vibe, surrounded by rolling hills and unique architecture."
Krabi,Thailand,asia,8.0634637,98.9162345,70,26.91666666666666,10,6,10,6,8,8,8,4,7,26.6,27.0,27.9,28.0,28.1,27.6,27.0,26.8,26.2,26.2,25.7,25.9,kaggle_worldwide_travel_cities,"Turquoise waters lap against limestone cliffs, while vibrant markets and serene beaches invite you to unwind and explore at your own pace."
Lomé,Togo,africa,6.130419,1.215829,70,27.91666666666667,6,6,6,4,6,6,4,6,7,28.4,29.3,29.4,29.1,28.6,27.1,26.2,25.8,26.5,27.4,28.6,28.6,kaggle_worldwide_travel_cities,"Bustling markets filled with vibrant textiles and the scent of spices create an energetic atmosphere, while palm-lined beaches offer serene escapes."
Port of Spain,Trinidad and Tobago,north_america,10.6572678,-61.5180173,135,27.033333333333335,8,8,6,8,10,6,6,8,7,25.9,26.0,26.6,27.4,27.7,27.3,27.4,27.6,27.8,27.5,26.9,26.3,kaggle_worldwide_travel_cities,"Bustling streets filled with lively music and vibrant colors offer a sensory feast, where Caribbean culture and urban energy intertwine seamlessly."
Muscat,Oman,middle_east,23.5882019,58.3829448,135,28.900000000000002,8,8,8,4,8,6,6,6,7,21.6,23.0,25.8,30.1,34.6,35.0,33.7,32.3,31.5,30.0,26.3,22.9,kaggle_worldwide_travel_cities,"Golden desert landscapes meet the azure sea, creating a serene backdrop for exploring traditional souks, grand mosques, and coastal promenades."
Kyiv,Ukraine,europe,50.4500336,30.5241361,70,10.1,2,8,6,8,8,6,6,8,7,-2.0,-0.6,4.2,10.3,15.5,21.0,21.8,21.8,16.5,9.5,3.2,0.0,kaggle_worldwide_travel_cities,"Strolling through lively squares and historic streets, you'll feel the vibrant energy of a city rich in culture and warm hospitality."
Galle,Sri Lanka,asia,6.0328139,80.214955,70,28.375,8,8,8,4,8,6,6,6,7,27.4,28.2,28.8,29.2,29.3,29.1,28.8,28.6,28.3,27.8,27.5,27.5,kaggle_worldwide_travel_cities,"Charming cobblestone streets, colonial architecture, and the salty breeze of the ocean create a serene and timeless atmosphere."
Gdansk,Poland,europe,54.42880315,18.79832701217957,135,9.491666666666667,6,8,6,6,8,4,6,8,7,0.8,1.8,4.5,7.1,12.0,17.4,18.5,19.0,15.1,10.0,5.4,2.3,kaggle_worldwide_travel_cities,"Charming cobblestone streets and vibrant maritime history meet the salty breeze of the Baltic, creating a welcoming and lively coastal atmosphere."
Miami,United States,north_america,25.7741728,-80.19362,240,25.791666666666668,10,6,6,10,8,6,8,8,7,20.8,22.5,23.7,25.5,27.0,28.3,29.3,29.2,28.7,27.2,24.6,22.7,kaggle_worldwide_travel_cities,"Vibrant streets pulsate with Latin beats, ocean breezes carry the scent of salt and sunscreen, and art deco architecture adds a nostalgic charm."
Svalbard,Norway,europe,78.7198519,20.3493328,240,0.0,2,4,10,2,4,10,4,2,7,-11.1,-9.5,-8.0,-11.1,-4.2,1.4,5.3,4.4,1.1,-2.6,-6.7,-8.2,kaggle_worldwide_travel_cities,"Vast, icy landscapes and the ethereal glow of the northern lights create a surreal, almost otherworldly experience, inviting deep reflection and awe."
Lapland,Finland,europe,67.69291045,26.728214183162983,240,1.1250000000000004,2,6,10,4,6,8,6,4,7,-13.0,-10.0,-6.1,-0.3,6.6,13.0,15.7,13.3,8.1,0.5,-5.2,-9.1,kaggle_worldwide_travel_cities,"Snow-draped landscapes, shimmering northern lights, and cozy log cabins create a magical atmosphere perfect for winter adventures and quiet reflection."
Tunis,Tunisia,africa,36.8002068,10.1857757,70,20.049999999999997,6,8,6,6,8,6,6,6,7,12.4,13.0,14.6,17.4,20.9,25.7,29.0,28.7,26.0,22.0,17.2,13.7,kaggle_worldwide_travel_cities,"Wander through bustling souks and historic medinas, where the scent of spices and the call to prayer create an enchanting atmosphere."
San Francisco,United States,north_america,37.7792588,-122.4193286,240,14.783333333333333,6,10,8,8,10,6,6,10,7,11.1,11.9,12.9,14.1,15.1,17.1,17.5,18.4,18.5,17.0,13.0,10.8,kaggle_worldwide_travel_cities,"Fog-kissed hills, eclectic neighborhoods, and the scent of fresh sea air create an inviting and dynamic atmosphere that's both laid-back and vibrant."
Boston,United States,north_america,42.3554334,-71.060511,240,11.708333333333334,4,10,6,8,8,4,6,10,7,-0.1,0.7,4.0,9.2,15.1,20.2,23.9,23.4,19.6,13.8,7.7,3.0,kaggle_worldwide_travel_cities,"Historic streets meet modern innovation, offering a mix of charming neighborhoods, rich history, and vibrant cultural scenes that invite exploration and discovery."
Rotorua,New Zealand,oceania,-38.1381493,176.252922,135,12.183333333333332,4,8,10,6,6,8,10,6,7,17.1,17.2,15.6,13.0,10.6,8.3,7.4,7.9,9.5,11.1,13.1,15.4,kaggle_worldwide_travel_cities,"Steam rises from bubbling mud pools and the air is filled with the scent of sulfur, creating a unique geothermal wonderland."
El Chaltén,Argentina,south_america,-49.3319564,-72.8860438,70,0.9083333333333333,2,4,10,4,6,10,6,2,7,4.9,6.0,4.1,1.5,-0.8,-3.0,-3.5,-2.9,-1.2,0.5,1.9,3.4,kaggle_worldwide_travel_cities,"Nestled amidst rugged peaks and vast landscapes, this charming village offers a sense of tranquility and awe-inspiring natural beauty."
Christiansted,U.S. Virgin Islands,north_america,17.7439481,-64.7079823,135,27.350000000000005,10,6,8,6,8,8,6,4,7,25.7,25.5,25.7,26.5,27.8,28.7,28.8,28.9,28.8,28.3,27.3,26.2,kaggle_worldwide_travel_cities,"Charming streets lined with pastel-hued buildings, ocean breezes carrying the scent of salt, and a laid-back Caribbean vibe invite relaxation."
Houston,United States,north_america,29.7589382,-95.3676974,135,21.758333333333336,4,8,6,8,10,6,6,10,7,12.1,14.7,18.6,21.3,25.2,28.2,29.4,29.5,27.2,22.8,17.4,14.7,kaggle_worldwide_travel_cities,"A sprawling city where vibrant cultural districts, lively food scenes, and lush parks create a welcoming atmosphere full of discovery and warmth."
San Diego,United States,north_america,32.7174202,-117.162772,135,18.216666666666665,10,8,8,8,8,8,8,8,7,14.4,14.8,15.9,17.3,17.7,19.4,21.6,22.8,22.5,20.5,17.2,14.5,kaggle_worldwide_travel_cities,"Sun-drenched beaches, vibrant neighborhoods, and an easygoing vibe invite you to savor ocean breezes and explore diverse, lively cultural spots."
Ladakh,India,asia,34.0242098,77.2036739,70,6.808333333333334,2,8,10,2,6,10,6,2,7,-5.9,-3.3,3.1,6.6,10.8,14.8,18.8,18.6,15.0,7.0,0.5,-4.3,kaggle_worldwide_travel_cities,"Rugged landscapes with towering mountains and serene monasteries create a tranquil yet awe-inspiring atmosphere, perfect for those seeking adventure and peace."
Chefchaouen,Morocco,africa,35.1700832,-5.2766582971063976,70,19.18333333333333,2,8,8,4,8,6,6,4,7,13.5,14.1,15.2,17.0,19.7,22.9,25.8,26.0,23.7,20.7,16.9,14.7,kaggle_worldwide_travel_cities,"Wander through winding blue-washed alleys, breathe in the fresh mountain air, and feel a serene calm envelop you in this charming town."
Lviv,Ukraine,europe,49.841952,24.0315921,70,9.35,2,10,6,6,8,4,6,6,7,-1.2,0.5,3.5,9.0,13.9,18.6,19.6,19.8,14.9,9.2,3.8,0.6,kaggle_worldwide_travel_cities,"Cobblestone streets, charming coffeehouses, and a rich tapestry of history and culture create a warm and inviting atmosphere for exploration."
Nashville,United States,north_america,36.1622767,-86.7742984,135,16.708333333333332,2,8,4,10,8,4,6,8,7,4.6,7.4,12.0,16.1,21.2,25.6,27.4,26.3,23.5,17.5,11.0,7.9,kaggle_worldwide_travel_cities,"Lively streets filled with music and friendly faces, where the aroma of Southern cuisine mingles with the vibrant energy of live performances."
Cleveland,United States,north_america,41.4996574,-81.6936772,135,12.191666666666665,4,8,6,6,8,4,6,6,7,-0.8,0.3,4.5,9.8,16.3,21.5,24.4,23.7,21.0,14.6,7.8,3.2,kaggle_worldwide_travel_cities,"A city where industrial roots meet cultural renaissance, offering lively arts scenes, lakefront breezes, and a welcoming Midwestern charm."
Ronda,Spain,europe,36.7421339,-5.1665916,135,18.608333333333334,2,8,8,4,8,6,6,4,7,10.1,11.8,13.7,16.6,20.6,24.1,27.8,28.1,24.2,20.3,14.4,11.6,kaggle_worldwide_travel_cities,Dramatic cliffs and a historic stone bridge create a breathtaking backdrop for wandering cobblestone streets and savoring local wines in sunlit plazas.
London,United Kingdom,europe,51.4893335,-0.1440550845276872,240,11.316666666666668,2,10,6,10,10,4,6,10,7,4.6,6.1,8.1,9.6,13.0,16.5,18.2,17.7,15.2,12.0,7.9,6.9,kaggle_worldwide_travel_cities,"Iconic landmarks, bustling markets, and a rich tapestry of culture create a vibrant atmosphere that feels both historic and ever-evolving."
Rochester,United States,north_america,43.157285,-77.615214,135,10.2,4,6,6,6,6,4,6,6,7,-2.8,-1.8,2.3,8.0,15.2,19.9,22.7,21.8,18.3,12.0,5.6,1.2,kaggle_worldwide_travel_cities,"Charming and unhurried, with scenic river views, vibrant arts, and a welcoming community vibe that makes you feel right at home."
Namibia,Namibia,africa,-23.2335499,17.3231107,135,21.008333333333336,4,6,10,4,6,10,6,4,7,23.9,23.7,22.5,20.5,18.3,14.8,15.0,17.9,21.8,24.3,24.8,24.6,kaggle_worldwide_travel_cities,"Vast desert landscapes meet rugged coastlines, creating a sense of awe and solitude, while vibrant wildlife offers thrilling encounters in nature."
Memphis,United States,north_america,35.1460249,-90.0517638,135,17.816666666666666,2,8,4,8,8,6,6,6,7,5.6,8.0,13.2,17.0,22.4,26.7,28.4,27.6,25.2,18.8,12.1,8.8,kaggle_worldwide_travel_cities,"Blues music fills the air as you wander through lively streets, savoring the aroma of smoky barbecue and the warmth of Southern hospitality."
Ashgabat,Turkmenistan,asia,37.9404648,58.3823487,240,18.275000000000002,2,6,4,4,6,4,4,6,7,4.4,6.7,12.3,18.6,25.0,31.2,33.0,30.6,25.3,17.1,10.0,5.1,kaggle_worldwide_travel_cities,"Marble-clad buildings rise against a backdrop of desert landscapes, offering a surreal blend of modernity and tradition with a touch of mystery."
Tulum,Mexico,north_america,20.429647,-87.6529306,135,27.158333333333335,10,6,8,6,8,8,10,4,7,23.9,24.9,26.8,28.8,29.2,28.7,28.8,28.6,28.5,27.2,25.7,24.8,kaggle_worldwide_travel_cities,"Pristine beaches with turquoise waters meet ancient ruins and vibrant jungle, creating an inviting blend of relaxation and adventure."
Honolulu,United States,oceania,21.304547,-157.855676,240,25.575,10,8,10,8,8,8,8,8,7,23.6,23.5,23.8,24.8,25.5,26.6,27.4,27.6,27.5,26.7,25.7,24.2,kaggle_worldwide_travel_cities,"Golden beaches meet vibrant city life, where the scent of plumeria and the sounds of ukulele create a laid-back, tropical vibe."
Tashkent,Uzbekistan,asia,41.3123363,69.2787079,70,16.275,2,8,6,6,8,6,6,6,7,3.2,6.0,11.3,17.1,22.9,28.2,30.4,27.6,22.3,14.7,7.9,3.7,kaggle_worldwide_travel_cities,"Wide avenues lined with Soviet-era architecture meet vibrant bazaars, creating a unique blend of history and lively local culture."
